Year,Total,Under 16,16 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 to 74,75 and over
1996,19660,551,596,1948,2711,3933,4121,3576,2212
1997,20277,597,533,1830,2805,4197,4239,3765,2297
1998,21344,654,560,1972,2990,4286,4683,3847,2340
1999,21900,726,612,2046,3278,4538,4540,3903,2249
2000,22878,781,654,2142,3522,4656,4877,4009,2190
2001,23777,856,715,2129,3512,4878,5217,4226,2222
2002,29237,1117,912,2288,4371,5661,6721,5391,2738
2003,33546,1355,1026,2449,4845,6452,7790,6432,3175
2004,40741,1506,1457,3449,5953,7424,9086,7813,4036
2005,52019,1727,1717,4252,7401,9858,12146,10056,4840
2006,67211,1896,2316,5319,9961,12922,15882,12571,6296
2007,80914,2104,3169,7218,12101,15683,18489,14496,7512
2008,102987,2229,4326,9899,15508,19971,23136,18234,9531
2009,142219,2400,6609,15490,21344,27641,30884,24294,13399
2010,211783,2762,12042,26965,30606,39258,43754,36056,20056
2011,266666,2824,16016,37060,37098,47514,53209,45949,26989
2012,292404,3115,18849,43681,39627,51364,55676,50262,29822
